Which of these following items are benefits of E-Learning? Hint: choose multiple answers (3) - |,lower cost,greater flexibility,more effective learning
One of the keys to building effective customer relationships is an understanding of intelligent agents. - |F
The purpose of a consumer behavior model is to help firms understand how a consumer makes a purchasing decision to be able to influence that decision through advertising, special promotions, or other marketing method. - |T
Individual buyers do most of the actual shopping in cyberspace in terms of dollar volume of sales. - |F
Purchases by governments, private corporations, resellers, and other organizational buyers often are used to create other products or services by adding value to them. - |T
Personal characteristics of customers, such as age and income, are independent variables, which are uncontrollable variables for EC companies . - |T
Customers rarely browse online stores if they do not intend to buy. - |F
According to Internet statistics, 67 percent of consumers abandoned their shopping carts because of the lack of satisfactory product information. - |T
The two most cited reasons for abandoning a shopping cart and not making the purchase are shipping charges and security concerns. - |F
Social factors such as customer endorsement strategies and word-of-mouth are independent variables that play an important role in EC shopping and purchases. - |T
Prices, advertising, promotions, and logistics are intervening variables that can be controlled by vendors. - |T
Buying decisions are the dependent variables because these decisions depend on the independent and intervening variables. - |T
An objective of conducting market research is to understand the relationships between dependent and intervening variables so that vendors can make informed decisions on the intervening variables. - |T
In the consumer decision-making process, the buyer is the person who ultimately makes the buying decision. - |F
When Chaplin's auto lease is about to expire, he decides it is time to buy a new car. This imbalance between a desired state and an actual state is called need identification. - |T
In the decision-making process, virtual catalogs and links to external sources support the evaluation and selection phase of that process. - |F
Mass marketing is an approach to marketing that treats each customer in a unique way such as fitting advertising to the customer's profile and needs. - |F
Selling as many products as possible to one customer over a long period of time and across different product lines to maximize customer value is known as relationship marketing. - |T
Segmentation refers to the matching of services, products, and advertising content to individuals and their preferences. - |F
A user profile defines customer preferences, behaviors, and demographic traits of a particular customer. - |T
A cookie is a data file that is placed on a user's hard drive by a remote Web server only when the user's gives full consent to collect information about the user's activities at a site. - |F
Attracting and retaining loyal customers is the most important issue for e-tailers because customer loyalty can lower marketing and advertising costs, transaction costs, customer turnover expenses, and failure costs such as warranty claims. - |T
Building consumer trust in EC can be achieved through integrity, which is a user's confidence in the ability of the online store to fulfill its promises such as a money-back guarantee. - |T
Clickstream data provide a trail of a user's activities in a Web site including a record of the user's browsing patterns of every page of every Web site the user visits, how long the user remained on a page, and even the e-mail addresses of mail that the user sends and receives. - |T
According to the EC consumer behavior model, personal characteristics and environmental characteristics are classified as: - |independent variables
The major environmental variables influencing EC purchasing are: - |social, cultural, community, regulatory, political, and legal.
Pricing, technical support, and logistics support are several of the _______________ that can be controlled by EC vendors and sellers - |intervening variables
Because online buyer's decisions depend on numerous independent and intervening variables, decisions made by customers are classified as: - |dependent variables
Banner advertising on Web sites helps trigger a realization that there is a gap between reality and a desired state, which occurs in the __________ stage of the EC purchase decision-making process. - |need identification
Marketing and advertising approaches has evolved from mass marketing to market segmentation to one-to-one marketing. This evolution occurred because: - |the Internet enabled companies to better communicate with customers and understand their needs and buying habits.
The core of the "new marketing model" consists of: - |customer relationships.
Personalization and user profiling strategies include each of the following EXCEPT: - |Segmenting the market based on demographics.
The two key factors limiting the use of personalization to more precisely target marketing efforts to individual customers are: - |privacy and trust issues.
By increasing customer loyalty, EC companies can achieve each of the following benefits EXCEPT: - |lower resistance to competitors.
What has been the impact of the introduction of EC on customer loyalty in general? - |Loyalty has decreased because of customers' ability to shop, compare, and shift vendors.
According to research, customer satisfaction with an Internet store: - |drops dramatically when certain Web site features fail to perform properly, such as the content's reliability, loading speed, or usefulness.
Issues related to trust in EC include all of the following EXCEPT: - |As a result of trust-transference programs through portal affiliation, seal of approval programs, online shopping communities, and customer endorsements, customers are fully confident in online purchasing transactions.
Procter & Gamble (P&G) used the Internet in the new product development of Whitestrips, a teeth-brightening product. Based on this experience, P&G: - |reduced the time-to-market from concept to market launch by approximately two years.
All of the following are correct about market research methods EXCEPT: - |Direct mail marketing methods are usually cost-effective.
Social class, lifestyle, personality, and activities are descriptors used in ___________ market segmentation. - |psychographic
To avoid getting false information from participants of online surveys, marketers learn about customers by observing their behavior using each of the following EXCEPT: - |Data mining to analyze clickstream data.
According to Inmon, B2C clickstream data can reveal information each of the following EXCEPT: - |What goods the customer wanted to but could not find.
Web analytics and mining tools and services: - |offer advanced functions that help marketers decide which products to promote, and merchandisers achieve a better understanding of the nature of demand.
Once a company knows a consumer's preferences, the company can predict, without asking the consumer directly, what other products or services that consumer might enjoy through ___________. - |collaborative filtering
Limitations of online research methods are all of the following EXCEPT: - |E-mail surveys have the lowest response rate.
Online methods of bringing new customers to a B2B site when a B2B vendor wants to grow by adding new customers or products include all of the following EXCEPT: - |through direct mail campaigns
The Internet introduced the concept of ______________, which has enabled marketers and advertisers to interact or communicate directly with customers and consumers can interact with marketers/advertisers. - |interactive marketing
The term ___________ refers to the number of times users call up a page that has a banner on it during a specific period. - |ad view
The major disadvantage of banners is ______________. - |their cost
A(n) ______________ is a type of pop-up ad that appears after a user clicks a link and remains while content is loading to capture the user's attention for a short time, either as a promotion or a lead-in to the site's homepage or to advertise a product or a service. - |interstitial
The risks of e-mail advertising management include all of the following EXCEPT: - |measuring e-mail advertising effectiveness
A(n) ____________ is an HTML coding statement that describes the content of a Web page and is used by search engines to index the site's content so that it can be found. - |meta-tag
Advertising in chat rooms, blogs, or social networks can achieve each of the following EXCEPT: - |They improve a company's search engine ranking.
is an advertising strategy that uses word-of-mouth marketing in which customers promote a product or service by telling others about it. - |Viral marketing
is a marketing strategy in which customers agree to accept advertising and marketing materials, known as "opt-in." - |Permission advertising
is marketing that treats each customer in a unique way to fit marketing and advertising with the customer's profile and needs. - |One-to-one marketing
refers to the practice of promoting a product or service to a subset of customers or prospects. - |Market segmentation
The process of dividing a consumer market into logical groups for conducting marketing research and analyzing personal information is - |market segmentation.
refers to the matching of services, products, and advertising content to individuals and their preferences. - |Personalization
which is a data file that is stored on the user's hard drive, frequently without disclosure or the user's consent. - |cookie
refers to a customer's loyalty to an e-tailer or a manufacturer that sells directly online or to loyalty programs delivered online or supported electronically. - |E-loyalty
is the psychological status of depending on another person or organization to achieve a planned goal. - |Trust
records user activities at a company's Web site. - |transaction log
Customer movements on the Internet are known as - |clickstream behavior
are tiny graphics files embedded in e-mail messages and in Web sites that transmit information about users and their movements to a Web server. - |Web bugs
Software that gathers user information over an Internet connection without the user's knowledge is known as - |spyware.
refers to the use of data mining techniques for discovering and extracting information from Web documents. - |Web mining
is one of an individual's unique physical or behavioral characteristics that an individual's unique can be used to identify an individual precisely. - |biometric
The Internet introduced the concept of which has enabled marketers and advertisers to interact directly with customers. - |interactive marketing
is a characteristic that influences the average length of time a visitor stays in a site. - |Stickiness
Specialized firms that offer customized Web advertising, such as brokering ads and targeting ads to select groups of consumers are known as - |advertising networks.
are markets in which companies can trade or exchange placement of banner ads on each other's Web sites. - |Banner exchanges
is the practice of using games, particularly computer games, to advertise or promote a product, an organization, or a viewpoint. - |Advergaming
A free Internet news service that broadcasts personalized news and information, including seminars, in categories selected by the user is known as - |Webcasting.
are third-party vendors that conduct promotions, especially large-scale ones. - |Admediaries
is an advertising strategy in which customers agree to accept advertising and marketing materials. known as "opt-in". - |Permission marketing
Methodology and software that enable organizations to perform a variety of activities involved in Web advertising, such as tracking viewers and rotating ads is known as - |ad management.
is an approach aimed at making the human-computer interface more natural. - |Social computing
Animation characters that can talk are known as - |chatterbots.
General Motors' B2B initiatives successfully enable the auto giant to reduce inventory cost, minimize operational problems, and shorten procurement processes. - |T
Business-to-business e-commerce is also known B2B and refers to transactions between businesses conducted electronically over the Internet, extranets, intranets, or private networks. - |T
The major characteristic of B2B commerce is that companies attempt to electronically automate trading, communication, and collaboration processes in order to improve them, which cannot be done without the Internet. - |F
Supply chain improvements and collaborative commerce are a basic type of B2B which has a hub manager for supply chain improvements, communicating, collaborating, and information sharing. - |T
B2B EC transactions that involve one seller selling to many buyers is called an exchange. - |F
Since business-to-consumer (B2C) transactions are segments in the supply chain, they should be examined in light of other supply chain activities such as manufacturing, procurement, shipments, and logistics. - |F
Supply chain activities usually involve communication and collaboration. - |T
With B2B2C, a business sells to a business, but also delivers small quantities to customers of the buying business. - |T
Intermediaries in B2B commerce, which may be virtual or click-and-mortar intermediaries, are third parties that broker transactions between buyers and sellers. - |T
The purchase of goods and services as they are needed, usually the purchase of commodities at prevailing market prices, is referred to as demand buying. - |F
Examples of direct materials for a food processing company are computers and communication devices. - |F
MRO stands for "maintenance, repair, and operation" which refer to indirect or nonproduction materials that support the production process. - |T
Markets that focus on providing materials or products that are used in various types of industries are known as horizontal marketplaces. - |T
Purchases of goods or services that are based on short-term contracts and frequently purchased in large quantities are known as strategic sourcing. - |F
Joining a public e-marketplace provides a business with greater buying and selling capabilities, but the tradeoff is lower supply chain power. - |T
B2B can increase the efficiency and effectiveness of supply chains or dramatically change the supply chain by eliminating one or more intermediaries. - |F
Companies that choose an intermediary to do their buying and selling will have high supply chain power and buying/selling capabilities. - |T
Transaction fees for B2B financial services are higher than for most other methods. - |F
Companies will often separate B2C orders from B2B orders because those types of orders have different order-fulfillment processes and different pricing models. - |T
By using the Internet and automatic-response software agents for customer service, companies have been able to reduce their customer service costs by up to fifty percent. - |F
Forward auctions expand online sales and offer businesses a new venue for quickly and easily disposing of excess, obsolete, and returned products. - |T
Strategic sourcing requires a holistic process that automates the entire sourcing process, including order planning, RFQ creation, bid evaluation, negotiation, settlement, and order execution. - |T
A large organizations can develop an effective procurement system by creating an internal marketplace that combines the catalogs of all its approved suppliers into a single internal electronic catalog, which is searched for product availability and delivery times. - |T
With a bartering exchange, a company submits its surplus to the exchange and receives points of credit, which the company can then use to buy items that it needs. - |T
In the real world, negotiations are done primarily electronically and with negotiation support tools. - |F
Key business drivers for B2B are all of the following EXCEPT: - |the willingness of companies to incur higher costs to improve collaboration.
B2B transactions that involve communication, design, planning, information sharing, and activites beyond financial transactions among business partners is referred to as ____________. - |collaborative commerce
With __________, a business sells to a business but delivers small quantities to customers of the buying business. - |B2B2C
A(n) _____________ is an online third party that brokers B2B transactions between a buyer and seller. - |intermediary
The purchase of goods and services as they are needed, usually at prevailing market prices is referred to as: - |spot buying
Purchases of goods and services based on long-term contracts is referred to as. - |strategic sourcing
can be supported more effectively and efficiently through direct buyer-seller offline or online negotiations, which can be done in private exchanges or private trading rooms in public exchanges. - |Strategic purchases
What are the two types of materials and supplies that are traded in B2B? - |Direct and indirect.
Nonproduction materials such as equipment and tools that support production are called: - |indirect materials
Indirect materials are typically used in __________________ activities. - |maintenance, repair, and operation (MRO)
The _____________ consists of a number of interrelated subprocesses that extend from the acquisition of materials from suppliers to packaging it and moving it to distributors and retailers. - |supply chain
Companies that use an intermediary to do their buying and selling tend to be: - |low on supply chain power and low on buying/selling capabilities
The major B2B services include each of the following EXCEPT: - |Retail
Which of the following is not one of the major benefits of B2B? - |Enables customized online catalogs with the same prices for different customers.
_____________ occurs when B2B eliminates a distributor or a retailer. - |Disintermediation
In a sell-side e-marketplace, a business sells products and services to business customers, frequently over _______________________. - |an extranet
Companies will usually separate B2C orders from B2B orders because B2C and B2B orders have different _____________. - |order-fulfillment processes and different pricing models
By using the Internet and automatic-response software agents, GE reduced the cost of customer service calls from $5.00 per call when done by phone to ______ per electronically answered call. - |$0.20
Some of the benefits of a(n) ___________ are that distributors can check inventory, make transactions, and look up the status of their orders significantly reducing the number of phone calls, e-mails, and incorrect product shipments. - |extranet-based order-entry tool
In selling directly, manufacturers may encounter a similar problem to that of B2C, namely ___________ with the regular distributors, including corporate dealers. - |channel conflict
One of the major problems facing direct sellers is ______________. - |how to find buyers
The Cisco Connection Online (CCO) Web site receives over 2 million hits per month for technical assistance, ordering, order checking, or software downloads. This online service had been so well received that nearly _________ percent of all customer service inquiries and _________ percent of software updates are delivered online. - |85 / 95
Companies use ____________ to sell their unneeded assets for quick disposal or to easily dispose of excess, obsolete, and returned products. - |forward auctions
Benefits of using a third-party hosting company for conducting B2B auctions instead of developing an auction site in-house include all of the following EXCEPT: - |Time-to-market of several weeks.
A company-based acquisition site that uses e-procurement methods such as reverse auctions, negotiations, or group purchasing, to overcome the manual searching of e-stores and e-malls is referred to as a(n): - |buy-side e-marketplace
Benefits of e-procurement over traditional procurement methods include all of the following EXCEPT: - |Increasing the skill requirements and training needs of purchasing agents.
Major implementation challenges that companies must consider when planning e-procurement initiatives include all of the following EXCEPT: - |Increasing the number of regular suppliers and integrating with their information systems and possibly with their business processes.
Because conducting reverse auctions in B2B can be a fairly complex process, a(n) ________ may be essential. - |open RFQ
The aggregation of suppliers' catalogs on the buyer's server to make it easier to centralize and control all procurement is called a(n): - |internal procurement marketplace
In general, the benefits of contract-management software include all of the following EXCEPT: - |Reduces contract-related risks.
refers to transactions between businesses conducted electronically over the Internet, extranets, intranets, or private networks. - |Business-to-business e-commerce (or B2B)
are markets in which the individual sell-side or buy-side company has complete control over participation in the selling or buying transaction. - |Private e-marketplaces
are many-to-many e-marketplaces in which many buyers and many sellers meet electronically to trade with each other. - |Exchanges
is the purchase of goods and services as they are needed, usually at prevailing market prices. - |Spot buying
are markets that deal with one industry or industry segment such as steel or chemicals. - |Vertical marketplaces
are markets that concentrate on a service, product, or materials that are used in various types of industries such as office supplies or PCs. - |Horizontal marketplaces
one company sells to many business buyers from e-catalogs or auctions, usually over an extranet. - |sell-side e-marketplace
is a corporate-based acquisition site that uses reverse auctions, negotiations, group purchasing, or other e-procurement method. - |buy-side e-marketplace
refers to the planning, organizing, and coordination of all the management activities pertaining to the purchasing of goods and services needed to accomplish the mission of an enterprise. - |Procurement management
The procurement inefficiency refers to the unplanned purchases of items needed quickly, often at non-negotiated higher prices. - |maverick buying
The electronic acquisition of goods and services for organizations is - |e-procurement.
refers to the process and tools that enable any activity in the sourcing process to be done electronically, including identifying new suppliers for a specific category of purchasing requirements. - |E-sourcing
is a tendering (bidding) system in which suppliers are invited to bid on the fulfillment of an order and the lowest bid wins. - |reverse auction
is an invitation to participate in a tendering (bidding) system. - |request for quote (or RFQ)
is the direct purchasing from internal marketplaces without the approval of supervisors and without the intervention of a procurement department. - |Desktop purchasing
Microsoft built its internal marketplace, named for the procurement of small items. - |MS Market
, orders from several buyers are combined into volume purchases so that better prices can be negotiated. - |group purchasing
a company submits its surplus to the exchange and receives points of credit, which the company can then use to buy items that it needs. - |bartering exchange
is the electronic transfer of specially formatted standard business documents, such as bills, orders, and confirmations, sent between business partners. - |Electronic data interchange (or EDI)
are private, third-party-managed common carriers that provide communications services and security and which are used to implement traditional EDI systems. - |Value-added networks (or VANs)
is a standard used to improve compatibility between different systems of business partners by defining the meaning of data in business documents. - |extensible markup language (or XML)
is a flexible language for capturing financial information throughout a business' information processes, which makes the analysis and exchange of corporate information more reliable and easier to facilitate. - |XBRL (or eXtensible Business Reporting Language)
is a general-purpose architecture that enables distributed applications to be assembled from a Web of software services in the same way that Web sites are assembled from a web of HTML pages. - |Web services
help customers do comparison-shopping in B2C by collecting data from multiple sellers' sites. - |Software agents (or intelligent agents)
will play a major role in facilitating B2B because it makes it easier to meet the demands of business customers and channel partners. - |Web Services
Public exchanges are many-to-many marketplaces that are open to all interested sellers and buyers and usually run by third parties. - |T
One major characteristic of all exchanges is that they are electronic trading-community meeting places for a single seller and many buyers, and possibly for other business partners. - |F
In electronic exchanges and traditional open-air marketplace, buyers and sellers can interact and negotiate prices and quantities. - |T
Dynamic pricing refers to the rapid movement of prices over time and possibly across customers as a result of supply and demand matching, as in auctions. - |T
MSN or Yahoo! are types of exchanges that generate revenue through membership fees. - |F
Thomas Register is basically a directory for buyers using search engines because it does not offer any opportunity for trade or transactions on its site. - |F
Alibaba China is China's largest online marketplace for both domestic and international trade among businesspeople and a trusted community of members who regularly meet, chat, search for products, and do business online. - |F
To increase their financial viability, third-party exchanges try to partner with large sellers or buyers, financial institutions that provide payment schemes, or logistics companies to cut costs or increase market liquidity. - |T
Market liquidity refers to the degree to which a product or service can be bought or sold in a marketplace without significantly affecting its price. - |T
Agentrics is the world's largest B2C exchange for retailers, such as Sears and Best Buy, whose objective is to simplify and automate supply chain processes. - |F
Two major models of third-party exchanges are supplier aggregation and buyer aggregation. - |T
For all types of e-marketplaces, the most important key to the success of any third-party exchange is the critical mass of buyers and sellers. - |T
A consortium trading exchange (CTE) or consortia is most appropriate for fragmented markets with large numbers of both buyers and sellers. - |F
The Global Transportation Network (GTN) provides participating carriers and customers with significant cost savings because it frees individual carriers from the huge capital costs of advanced technologies. - |T
Purchasing-oriented (procurement) consortia have not yet been a successful or popular B2B consortium model. - |F
Because of their large number of buyers and sellers, B2B exchanges and other e-marketplaces do not face anti-trust or other competition laws. - |F
A B2B consortium has the potential to reduce prices of individual products, thus enabling and encouraging consortium members to buy more. - |T
Dynamic trading is trading that occurs in situations in which prices are determined by supply and demand, therefore changing continuously. - |T
The strategy of providing comprehensive, quality e-service for business partners is called customer relationship management (CRM). - |F
Because of the complexity in building large e-marketplaces and exchanges, it is usually performed by a major B2B software company, such as Ariba or IBM, and a management consulting company, such as PricewaterhouseCoopers, usually participates. - |T
Company-centered networks may be a waste of money because they are used by only one - |
buyer (buyer's industrial network) or by only one seller (seller's industrial network), and they may not be open to all. - |T
Most exchanges have the same log-on procedures, same sets of rules for fulfilling orders,and similar business models for charging for their services. - |FPublic exchanges have difficulty attracting buyers and sellers because of the transaction fees, reluctance to share information, and the availability of too many exchanges. | T
In B2B exchanges, software agents can facilitate management of multiple trading partners and their transactions across multiple virtual industry exchanges. - |T
Good management and effective operations and rules are critical to the success of B2B exchanges because good governance provides the rules for the exchange, minimizes conflicts, supports decision making, and tries to induce the necessary liquidity. - |T
Before the Internet, the trading process for raw and partially processed chemicals, plastics, and fuel oil was each of the following EXCEPT: - |disintermediated
ChemConnect is an example of a successful e-exchange with: - |many buyers and many sellers.
A third party that operates an exchange and in many cases, also owns the exchange is known as a(n): - |market maker
In the context of EC, ____________ are electronic trading-community meeting places for many sellers and many buyers, and possibly for other business partners. - |exchanges
From 2001 to 2006, a majority of e-exchanges: - |folded due to a lack of customers, cash, or both.
An exchange whose members are in one industry or industry segment and that trades only in materials/services unique for that industry is referred to as a(n): - |vertical exchange
An exchange that handles materials used by companies in different industries is referred to as a(n): - |horizontal exchange
Light bulbs and office supplies might be purchased in a(n) _________________ by both an automaker and a steelmaker. - |horizontal exchange
In _______________, the prices are usually dynamic and are based on changes in supply and demand. - |spot sourcing
In _________, the prices are usually negotiated or fixed. - |strategic sourcing
Spot sourcing of direct materials takes place: - |in vertical exchanges.
In spot-sourcing, prices are: - |dynamic and set based on supply and demand.
In an exchange where plastic components are bought and sold, the market maker collects money from the buyer, and releases it to the seller once successful delivery is completed. This is an example of: - |transaction facilitation.
In an exchange where plastic components are bought and sold, the market maker purchases a new server that will be used to conduct auctions. This is an example of: - |maintaining exchange infrastructure.
A market maker evaluates an exchange between a buyer in the United States and a seller in Spain to ensure that import laws for the U.S. are followed. This is an example of the market maker: - |maintaining exchange policies and infrastructure.
In the consortia model: - |several industry players come together to establish the exchange for the benefit of all.
The exchange model in which a third party sets up the exchange and promises to run it efficiently and without bias is called the: - |neutral entrepreneur model.
An exchange charges an annual fee of $25,000 for all parties who want to trade in the exchange. The revenue model in use by this exchange is the: - |membership fee model.
A market maker charges a percentage on every buy and sell made in the exchange. The revenue model in place in this exchange is the: - |transaction fee model.
A market maker bills a buyer for reviewing several seller contracts and making a recommendation on what to buy and from whom. The revenue model being used in this example is the: - |fee for service model.
All of the following are potential sources of revenue for an exchange EXCEPT: - |shipping and handling fees.
When membership fees are the basis for revenue generation in an e-exchange, it has been shown that: - |low membership fees often result in losses to the exchange,; however, high fees discourage participation.
The concept of liquidity for a B2B exchange is the: - |number of buyers and sellers in a market.
The exchange model in which RFQs are aggregated then linked to a pool of suppliers who are notified automatically of the RFQ is the ______________ model. - |buyer aggregation
Markets in which several large sellers sell to a large number of buyers are called: - |seller-concentrated markets.
Attracting large business sellers to public exchanges is often difficult for all of the following reasons EXCEPT: - |advertising costs in public exchanges are very expensive.
In dealing with exchange members, the management of the exchange should: - |make certain that the exchange is neutral in its dealings with all members.
The most attractive industries for a vertical exchange are characterized by: - |many fragmented buyers and sellers.
Brand building is important in B2B exchanges because: - |it is easy for exchange members to change to another exchange.
Using tunneling technology to improve security of communication over the Internet is called: - |virtual private network (VPN).
are trading venues open to all interested parties (many sellers and many buyers) that use a common technology platform and that are usually run by third parties or industry consortia. - |Public e-marketplaces (or public exchanges or exchanges)
At the center of every exchange is a the third party that operates the exchange and, in many cases, may also own it. - |market maker
is an exchange whose members are in one industry or industry segment. It trades only in materials/services unique for that industry. - |vertical exchange
is an exchange that handles materials used by companies in different industries. - |horizontal exchange
refers to the rapid movement of prices over time and possibly across customers, as a result of supply and demand matching. - |Dynamic pricing
A good example of dynamic pricing occurs in where prices vary and final prices are determined by the forces of supply and demand. - |auctions
is a many-to-many marketplace owned by one company. - |private exchange
has one seller and many buyers, or one buyer and many sellers. - |A private marketplace
is one type of exchange in which several industry players collaborate to build an exchange so that all can benefit. - |A consortium (or co-op)
Exchanges, like all organizations, require - |revenue
are information portals for businesses - |B2B portals
is a directory of over 700,000 manufacturers and distributors from 28 countries - |Thomas Global (thomasglobal.com)
are becoming a necessity in many industries due to the information glut. - |Specialized search engines
is the degree to which something can be bought or sold in a marketplace without significantly affecting its price. - |Market liquidity
is one of the two major models of third-party exchanges where distributors standardize, index, and aggregate suppliers' catalogs and make them available to buyers in a centralized location. - |supplier aggregation model
is an exchange formed and operated by a group of major companies in an industry to provide industrywide transaction services. - |consortium trading exchange
which are the most popular type of B2B consortium, consist of a group of companies that join together to streamline purchasing processes. - |Purchasing-oriented consortia
is a business strategy that focuses on providing comprehensive quality service to business partners. - |Partner relationship management
is a business strategy that focuses on managing an enterprise's interactions with its suppliers. - |Supplier relationship management
Also known as private industrial networks are Web-based networks owned by one large seller or buyer for inter-organizational communications. - |company-centered networks
A special network model that enables transindustry collaboration is the which connects all Internet business services. - |business-to-exchange (or B2X)
that monitors traffic on a B2B exchange and takes appropriate actions when needed, such as sending an alert to management when traffic is too heavy or routing traffic to other places. - |software agent
One of the factors that influence the success of a B2B exchange is which provides the rules for the exchange, minimizes conflicts, and supports decision making. - |governance
One of the factors that has led to the failure of initial B2B exchanges was the failure of these marketplaces to foster a broad-based sharing of - |information
Researchers believe that the use of technology to facilitate collaboration among trading partners will help the expansion of the exchanges. - |wireless
Although a company's success is clearly dependent on finding and retaining customers, its success may be far more dependent on what is behind the Web page than on what is on the Web page. - |T
It has been well known for generations that the success of many private, public, and military organizations depends on their ability to manage the flows of materials, information, and money, which is referred to as the product life cycle. - |T
Supply chain problems can cause delays, products not being where they are required at the right time, customer dissatisfaction, lost sales, and high expenses that result from fixing the problems once they occur. - |T
The term supply chain comes from the concept of how systems and processes within an organization are linked together. - |F
A supply chain involves activities that take place during the entire product life cycle, "from dirt to dust." - |T
A supply chain can be broken into three major parts: upstream, internal, and downstream. - |T
The downstream part of the supply chain includes the activities of a company with its suppliers, which can be manufacturers, assemblers, or both, or service providers, and their connections with their suppliers. - |F
In the internal part of the supply chain, the major concerns are production management, manufacturing, and inventory control. - |T
In the upstream supply chain, attention is directed at distribution, warehousing, transportation, and after-sale service. - |F
SCM aims to minimize inventory levels, optimize production and increase throughput, decrease manufacturing time, optimize logistics and distribution, streamline order fulfillment, and overall reduce the costs associated with these activities. - |T
A major requirement for any medium- to large-scale company that is moving to EC implies an integration between all the activities conducted on the Web and the ERP/MRP/SCM solutions—in other words, creating an e-supply chain and managing it. - |T
E-supply chain management is the collaborative use of technology to enhance B2C processes and improve speed, agility, real-time control, and customer satisfaction. - |F
The success of an e-supply chain depends on managing information with strict policies, discipline, and daily monitoring. - |T
The success of an e-supply chain depends on an e-supply chain that is loosely integrated both within a company and across an extended enterprise made up of suppliers, trading partners, logistics providers, and the distribution channel. - |F
Companies can use replenishment information to reduce inventories and eliminate stocking points. - |T
By combining bar coding and wireless technologies, automobile dealers are able to scan in goods as they arrive electronically and place them in inventory up to 10 percent faster than previously. - |F
At hospitals and supermarkets, inventory reorder points have been automated so that when inventory gets down to a certain point the system will automatically notify a human of the exact amount to reorder. - |F
Functional products are staple products, such as groceries or gasoline, that have stable and predictable demand. For these products, an effective supply chain emphasizes speed, responsiveness, and flexibility rather than low costs. - |F
A major limitation of RFID currently is the restriction of the environments in which RFID tags are easily read. - |T
RuBee relies on low-frequency magnetic waves to track products and transfer information. It is becoming a replacement for RFID because RuBee overcomes many of RFID's limitations. - |F
With vendor-managed inventory, retailers make their suppliers responsible for determining when to order and how much to order. The retailer provides the supplier with real-time information such as point-of-sale data, inventory levels, and a threshold below which orders are replenished. - |T
The goal of collaborative planning, forecasting, and replenishment (CPFR) is to streamline product flow from manufacturing plants to retailers. - |F
Studies have shown that electronic-based collaboration and product lifecycle management (PLM) can reduce product costs and travel expenses by 50 percent, as well as significantly reduce costs associated with product-change management. - |F
As with any IT project, management needs to be able to justify the development and use of a corporate portal by comparing its cost with its benefits. The challenge is that despite the tangible benefits from investment in portal technology, such as include increased revenues and customer loyalty, most of the benefits of portals are intangible. - |T
A company's internal operations and its relationships with suppliers and other business partners are frequently: - |as complex as customer-facing applications such as taking an order online.
For a manufacturer, the supply chain ends: - |when the product is used up and disposed of.
The use of Web technologies to manage warehousing and transportation processes is called: - |e-logistics.
The e-SCM process that includes integrated production and distribution processes is: - |supply chain replenishment
The last fifteen orders from a manufacturer to its suppliers range from $100,000 to $8,740,000. This is an example of: - |the bullwhip effect.
B2B systems which are used for communication, design, planning, information sharing, and information discovery are called: - |collaborative commerce.
All of the following would be considered c-commerce EXCEPT: - |aggregating catalogs on a central server.
RFID can provide immediate, short-term, and long-term value to organizations. An example of immediate value from RFID is when: - |an RFID tag tells inventory control every time a roll of wire moves out of the warehouse and onto the factory floor.
A major block in the widespread implementation of collaborative commerce is: - |the lack of universally accepted standards.
Wal-Mart and Levi Strauss collaborate on demand forecasting in order to optimize the flow of materials along the supply chain. This is an example of: - |CPFR.
The purpose of CPFR is to: - |ensure that members of the supply chain will have the right amount of raw materials and finished goods when they need them.
is a business strategy that enables manufacturers to control and share product-related data as part of product design and development efforts. - |Product lifecycle management
All of the following are true about product lifecycle management (PLM) EXCEPT: - |The demand for PLM in limited because it does not apply to products that have short life cycles or are complex.
Today, many business experts agree with each of the following EXCEPT: - |Supply chain integration has reduced the intensity of competition in most industries.
When planning, designing and implementing integrated supply chain operations, management requires a holistic focus that takes account all of the following primary factors EXCEPT: - |location and revenues.
Software that helps integrate different types of information systems among collaborating companies is called: - |middleware.
Collaborative workflow applications: - |address project-oriented and collaborative processes
Software applications that address project management concerns are examples of: - |collaborations workflow applications.
Addressing mission-critical, high-volume transaction processes is the goal of: - |production workflow applications.
The steps required to approve an expense report is an example of: - |administrative workflow applications.
is the transfer of documents and computer files while videoconferencing. - |Data conferencing
The primary benefits of workflow management systems include all of the following EXCEPT: - |increased data security.
When large suppliers or buyers are involved, a workflow system: - |is needed for both the collaborative efforts and for supply chain and production improvements.
Groupware is appropriate in all of the following situations EXCEPT: - |For people working on different tasks or projects.
means that the communication and collaboration are done in real time. - |Synchronous
All of the following are types of communication and collaboration done in real time EXCEPT: - |blogging
The growth in electronic meeting systems has been driven by all of the following EXCEPT: - |Shorter cycle times.
The major benefit of group decision support systems is: - |in conducting virtual meetings.
